item,refs,qty,subsystem,manufacturer,mpn_or_spec,description,rating_or_value,footprint_or_mount,procurement,status,unit_price_brl,subtotal_brl,verification
MEC-001,T1-T2,2,hydraulic,Fornecedor local,CAIXA-ORGANIZADORA-40-50L,caixas plásticas com tampa para água e mistura,40-50L material lavável e sem trinca,prateleira inferior,loja de utilidades/Mercado Livre,VALIDAR,40,80,"medir volume útil e testar 24h somente com água fora da estante"
MEC-002,B1-B6,6,dosing,Fornecedor local,POTE-VIDRO-1L-COM-TAMPA,potes de vidro para concentrados,aproximadamente 1L com tampa íntegra,prateleira de dosagem,supermercado/loja de utilidades,VALIDAR,10,60,"verificar compatibilidade química e identificar cada tampa e linha"
MEC-003,RACK1,1,installation,Genérico,ESTANTE-ARAMADA-4-PRATELEIRAS,estante de arame cromado ou pintado,capacidade declarada acima da carga real,piso nivelado,loja local/Mercado Livre/OLX,VALIDAR,150,150,"somar massa cheia e usar trava antitombamento conforme o fabricante"
MEC-004,BP1,1,installation,Fornecedor local,MADEIRA-SELADA-6-10MM,fundo de madeira simples selada,dimensão compatível com a estante,fundo da estante,marcenaria/loja de material,PLANEJADO,30,30,"selar todas as faces e manter fora do caminho de vazamento"
HYD-001,TUBE1,1,dosing,Genérico,TUBO-PERISTALTICO-COMPATIVEL,tubo sobressalente para seis dosadoras,diâmetro conforme bomba e material conforme produto,nas bombas,Mercado Livre/AliExpress/loja técnica,VALIDAR,35,35,"confirmar diâmetro e compatibilidade por ficha do insumo"
HYD-002,PLUMB1,1,hydraulic,Genérico,KIT-TUBOS-CONEXOES-12V,tubos abraçadeiras registros e conexões para água,diâmetro conforme bombas e dreno sem estrangulamento,estante/cultivo,loja de aquário/irrigação/Mercado Livre,VALIDAR,70,70,"montar sem cola permanente até concluir teste de estanqueidade"
INST-001,WIRE1,1,installation,Genérico,KIT-FIOS-TERMINAIS-ETIQUETAS,fios terminais termo-retrátil abraçadeiras e etiquetas,bitola conforme corrente e comprimento,caixa/estante,loja elétrica/automotiva,PLANEJADO,35,35,"crimpar e testar tração; identificar as duas pontas"
INST-002,BOX1,1,installation,Genérico,CAIXA-PLASTICA-PROJETO,caixa fechada para ESP32 relés e MOSFETs,isolante e protegida contra respingo,zona seca,Mercado Livre/loja elétrica,PLANEJADO,25,25,"adicionar alívio de tração e manter bornes inacessíveis"
SAFE-001,STOP1,1,safety,Genérico,BOTAO-STOP-BAIXA-TENSAO,botão de parada local para entrada do ESP32,contato NF em baixa tensão,frente da caixa,Mercado Livre/loja elétrica,VALIDAR,15,15,"não é E-stop certificado; testar corte e rearme manual"
TOOL-001,CUP1,1,commissioning,Fornecedor local,COPO-GRADUADO-500ML,copo ou proveta para calibrar bombas,escala legível e uso exclusivo,bancada,loja de utilidades/laboratório,VALIDAR,20,20,"comparar marcações com volume conhecido antes da calibração"
SAFE-002,TRAY1,1,safety,Fornecedor local,BANDEJA-CONTENCAO,bandeja plástica sob reservatórios,maior que a base das caixas,prateleira inferior,loja de utilidades/material de construção,VALIDAR,40,40,"testar com água e posicionar sensores no ponto mais baixo"
CAL-001,CAL1,1,chemistry,Kits compatíveis,SOLUCOES-CALIBRACAO-PH-EC,soluções ou sachês para pH e EC,pH 4 e 7 mais padrão EC adequado,bancada,loja de aquário/laboratório/Mercado Livre,VALIDAR,40,40,"conferir validade lote e valor nominal; não reutilizar solução contaminada"
